,segment_id,segment_id_secondary,synapse_id,prepost,synapse_x,synapse_y,synapse_z,synapse_size
0,80433193454844380,12345,0,presyn,1346190.125,1082040.0,96824.921875,100
1,80433193454844380,12345,1,postsyn,1346157.625,1081681.25,96674.2734375,100
2,80433193454844380,12345,2,presyn,1345972.25,1081898.625,96748.4453125,100
3,80433193454844380,12345,3,postsyn,1280438.875,1183152.25,97107.390625,100
4,80433193454844380,12345,4,postsyn,1280819.875,1183229.875,97224.96875,100
5,80433193454844380,12345,5,presyn,1280451.125,1183378.5,97250.0,100
6,80433193454844380,12345,6,postsyn,1279610.0,1182915.125,97250.0,100
7,80433193454844380,12345,7,postsyn,1279739.875,1182870.125,97024.9453125,100
8,80433193454844380,12345,8,presyn,1279004.0,1182479.375,96575.0625,100
9,80433193454844380,12345,9,presyn,1279470.0,1182630.25,96950.078125,100
10,80433193454844380,12345,10,presyn,1279529.875,1182545.75,96879.8046875,100
11,80433193454844380,12345,11,presyn,1279410.125,1182960.25,96674.9609375,100
12,80433193454844380,12345,12,presyn,1277190.25,1183110.0,96799.890625,100
13,80433193454844380,12345,13,presyn,1277250.125,1182509.75,96550.03125,100
14,80433193454844380,12345,14,postsyn,1277118.75,1182990.0,96740.640625,100
15,80433193454844380,12345,15,postsyn,1277084.875,1183769.875,97250.0,100
16,80433193454844380,12345,16,presyn,1277009.875,1183590.25,97250.0,100
17,80433193454844380,12345,17,postsyn,1277294.875,1183505.25,97250.0,100
18,80433193454844380,12345,18,postsyn,1277131.125,1183481.625,97250.0,100
19,80433193454844380,12345,19,presyn,1277088.5,1183358.875,96838.703125,100
20,80433193454844380,12345,20,postsyn,1276820.875,1183346.5,97013.6953125,100
21,80433193454844380,12345,21,presyn,1275870.75,1183907.875,93535.4375,100
22,80433193454844380,12345,22,presyn,1275690.375,1184340.25,93724.8984375,100
23,80433193454844380,12345,23,postsyn,1275629.75,1184040.125,94075.109375,100
24,80433193454844380,12345,24,postsyn,1275403.25,1184040.125,94163.7578125,100
25,80433193454844380,12345,25,presyn,1275030.25,1183740.0,94674.953125,100
26,80433193454844380,12345,26,presyn,1275090.125,1183679.75,94874.9765625,100
27,80433193454844380,12345,27,presyn,1275211.25,1183844.25,94835.4765625,100
28,80433193454844380,12345,28,presyn,1273966.75,1184116.75,94425.09375,100
29,80433193454844380,12345,29,postsyn,1282529.625,1181160.125,95675.0703125,100
